,FOX,DCL,AST,QUICK,CAKE,OUSD,FOR,REQ,HZN,PTF,AMB,OCTO,STND,SUKU,AKRO,GENS,POLS,SRM,IETH,VEST,UFARM,RCN,CREAM,LUA,FRIN,RBC,TRADE,DFL,YAXIS,DODO,FIN,INJ,CVXCRV,DDX,RUNE,GEL,OPIUM,ALPHA,APY,NSURE,COMBO,CUSD,JRT,NDX,PHX,QI,CORE,LUNC,REP,BABY,PIE,NIOX,KSP,DUEL,SDT,AAVE,DIGG,DOUGH,ERC20,ARMOR,XVS,VX,PBR,CRB,JOE,FRM,KALA,GXT,MDX,BIFI,TAROT,CDAI,CUSDC,SSS,SEA,CSAI,EONS,DEXE,VEMP,ITGR,EZ,CFX,WOM,INDEX,imBTC,RISQ,DAL,XTM,NIFTY,SXP,VVS,MSCP,LEND,UMB,AUTO,PSP,MPL,FEG,PHTR,SLND,DAM,EQX,GOVI,XDO,HAWK,MOMA,UQC,APYS,KNC,DAO,XPR,LIME,DERI,SNY,PEAK,NETT,VALUE,HYPR,CQT,UFT,WARP,OPS,SMRTR,EGG,HBB,SAI,LQTY,RADAR,YFL,SHARD,INST,ZEE,MVD,BOND,FLX,NRCH,ABUSD,PREMIA,CPOOL,DVD,CTT,BREW,PRQ,SWFTC,RAMP,NOTE,VSP,DFSG,BANANA,ZAP,POOL,pBTC,RGT,DCB,XEND,YIELD,RAI,RAY,PERI,BOR,UNISTAKE,TFI,LUSD,SEOR,ORAI,KP3R,THETA,JST,STRONG,SCLP,MMO,XCV,HOT,eRSDL,POLK,PNL,TAD,OM,STORM,CRV,YAM,ELMON,BTL,aENJ,aETH,XTK,HARD,FONT,AUCTION,MATTER,KP4R,ALCX,SDAO,DFD,BMXX,SMARTCREDIT,VBNT,HTR,ZZZ,CATE,FTM,TIKI,SLICE,KEEP,LTX,SFI,FEI,DOWS,DOP,BTS,EPX,DXD,HAKKA,STAKE,FSN,DANA,SCRT,ROSE,NEC,REN,MKR,LAYER,UMA,REB2,UNFI,BSW,SPIN,VOLTS,ibETH,ROOK,ORN,WGRT,BNC,VPK,ALPACA,ORO,ETHA,DVF,CVP,ODDZ,MLN,INV,DPT,CFi,TIME,DINO,SNX,BELT,STF,TRU,WAN,SWPT,LIEN,NRV,TLOS,API3,COMP,SWTH,MPH,GRT,RADIO,ETHY,BAND,RSV,CHO,BTC++,L2,AUC,BAL,VNLA,MFG,CFL365,ACA,RLC,SUSHI,XHV,DMG,CBAT,BUNNY,BITCNY,CUSDT,CZRX,MUSD,MTA,CWBTC,BEAM,BITUSD,CREP,ATUSD,AKNC,GNO,TKN,SMRT,TKING,ALINK,RATIO,ASNX,AMKR,ABAT,SYNC,WBTC,BAC,SETH,BAS,ADAI,HYDRO,SBTC,XY,RDAI,OKS,VAI,RENBTC,TBTC,IADA,DF,METAX,BAT,PNT,IDLE,DHV,ACS,UNB,UND,DAFI,DFI,AVAX,CVX,MIR,CAP,BADGER,IF,IDIA,BZRX,RIN,OXEN,PPAY,BNT,XSUSHI,NMR,SWAP,NXM,ANKR,ADEL,PEEPS,ADD,FARM,DEC,BNPL,STRK,NEST,OOE,CHESS,DUSD,SDEFI,YFI,SUTER,EPS,SHROOM,KAVA,STX,TFUEL,NEX,SWRV,LFT,FIS,BONDLY,FST,ETNA,MARSH,ANY,FRONT,SLRS,XCUR,COL,COGI,BEL,HEGIC,COVAL,USX,YF-DAI,MTRG,SWINGBY,HGET,PERP,COOK,FRAX,FXS,FIDA,PLR,DUCK,TENFI,MET,GRG,LDO,TRIBE,MCB,YFII,OCEAN,CNS,THX,ZDEX,ALLOY,DAI,TRB,SASHIMI,CKB,SAKE,DREP,IDEX,BIP,SOLR,YVS,ZRX,PICKLE,SUSD,ICE,KALM,ESD,EQZ,RSR,FEED,RPL,AYA,ONX,WING,BNU,CHR,LRC,DPI,DYP,LON,DYDX,PUSH,COTI,BAKE,ACED,MNGO,STPT,1INCH,UNI,SBR,DEGO,EOSDT,IZI,VOLT,INSURE,DHT,LINK,SOCKS,VRSC,BRG,WHITE,HFT,LINA,MRCR,ELIX,KNCL,XPRESS,BEPRO,TRAVA,USDN,WASP,RAZE,DEUS,MBOX,AMPL,XTZ,GMM,YFIII,CYS,DSS,BTCMT,GS,FLM,VEGA,HORD,UPS,AIR,BURGER,SURE,DIA,ROT,OGN,NFTX
12/20/2020,,,50805509.63,,9380263.873,0,0,32766010.85,,1693125.454,0,0,,0,0,,0,,,,,0,0,0,0,0,,128489180.8,0,,0,11566783.07,,,0,,,0,8883.423961,0,,0,0,,27184744.69,,0,0,,,0,253966.762,,,,75262186.87,,2370484.509,,,8018441.329,0,,,,0,,0,,,,0,0,0,0,,,,,,0,0,,0,,,0,,0,0,,0,,,,,,,,,430832.0887,,,,0,,0,,,,,,,,0,,0,,,0,,,,,,,,,0,,,0,0,0,,,,,,,,,0,0,0,,,,,0,,,0,,,,,,,0,0,,,0,,6239708.524,0,0,0,,,,0,,,,0,0,,,5793224.995,,0,,,,0,,,,,,,0,,0,,0,,,0,,,0,0,0,,,,20064749.52,0,0,0,0,0,0,0,86190858.41,,0,,0,0,,7673830.455,,0,,,2734815.342,0,0,,0,,,,,10169955.54,,0,,0,0,6311387.94,,0,,,0,0,,0,,0,,0,,0,123321668.8,0,,,0,0,0,10580512.79,0,0,,0,,0,19126313.62,1032141.013,5901411.766,0,,,,0,0,0,0,,0,,,,,79011310.28,21960861.08,,,,,,,,0,0,,0,0,,,,0,0,0,,0,0,,0,,152667446.9,0,212450.433,,0,0,,,0,111390468.8,,0,0,0,,,0,,0,0,0,,48634856.32,0,0,0,0,,,0,0,,,0,,,0,,4756548.754,0,,0,0,0,0,0,259936.5956,0,,,,,,0,5669204.147,,0,,,0,0,,,0,0,0,0,0,,,,,35880043.42,0,,0,0,,,0,0,0,0,0,,,0,0,0,0,,,0,0,,,113670743.6,0,0,,,0,,0,,,0,,0,,0,0,,,,,,0,0,0,,0,,285154514.4,,,,0,0,0,0,,0,0,,,232730842.9,0,,,214426591.3,,0,,0,,,,,0,,0,,,0,,,0,,,,,0,0,0,,0,
12/21/2020,,,32486211.48,,2956888.096,0,0,27605213.98,,1949297.83,0,0,,0,0,,0,,,,,0,869634.8934,0,0,0,,185622299.8,0,,0,8747259.88,,,0,,,0,5714.518282,3251976.724,,9109559.846,0,,22670913.21,,37070035.2,0,,,0,1930397.368,,,,60497261.2,,1736690.92,,,9772022.391,0,,,,0,,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,0,0,0,0,,,,,,,,,434513.0227,,,,0,,0,,,,,,,,0,0,0,,,0,,,,,0,,,,0,,,0,0,5271619.372,,,,,,,,,0,0,0,,,,,0,,0,0,,,,,,,0,0,,,0,,52253308.22,0,0,0,,,,0,,,,0,0,,,25125487.57,,0,,,,0,,,,,,,0,,0,,0,,,0,,,0,0,3565740.191,,,,13443077.88,0,0,0,0,0,0,0,45389649.06,,0,,0,0,,6436285.449,,0,,,3077214.903,0,0,,0,,,,,19671273.11,,0,,0,0,4595544.896,,18806260.21,,,41862567.89,0,,0,,0,14872035.23,327756984.7,0,0,485613660.7,0,,,0,0,0,9175414.951,9122918.381,0,0,0,,0,18696898.98,60062885.7,7594383.341,0,,,,0,0,0,0,,0,,,,,89125459.65,18557004.66,,,,0,,,,0,0,,0,0,,0,,0,0,0,4202943.801,0,0,,0,,252769607.6,0,567400.7903,,0,0,,,0,96878213.65,,0,0,0,,,0,,0,0,0,,65466120.61,0,0,0,0,,,0,0,,,0,,,0,,20222720.22,0,,0,0,0,0,0,4262743.337,0,,,,,,0,4011119.745,,0,,,0,0,,,0,0,0,0,0,,,,,28247035.57,0,,0,0,,,0,0,0,0,0,,,0,0,0,0,,,0,0,,,240457150.8,0,0,,,0,,0,,,0,,0,,0,36547354.54,,,,,,0,0,282098.2952,,0,,468022856.3,,,,0,0,0,0,,0,0,,,202661187.9,0,,,205850486.4,,0,,0,,,,,0,,0,,,0,,,0,,,,,0,0,0,,0,
12/22/2020,,,29300339.26,,2817272.635,0,0,24988517.08,,1992976.34,33966856.58,0,,0,0,,0,,,,,0,537835.7376,0,0,0,,197506755.7,0,,0,13068021.9,,,0,,,0,6253.807858,1868440.139,,9222173.459,0,,19380739.48,,60957340.66,0,,,0,3391685.015,,,,170665592.9,,2049820.89,0,,9721210.815,0,,,,0,,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,0,0,0,0,,,,,,,,,434546.6586,,,,0,,0,,,,,,,,0,0,0,,,0,,,,,0,,,,0,,,0,0,4920498.082,,,,,,,,,0,0,0,,,,,0,,0,0,,,,,,,0,0,,,0,,33915441.98,66743560.06,4494507.36,0,,0,,0,,,,0,0,,,19806884.82,,0,,,,0,,,,,,,0,,0,,0,0,,0,,,0,0,4389659.683,,,,13394403.64,0,0,0,0,0,0,0,47835092.56,,0,,0,0,,6488716.341,,0,,,2895587.008,0,0,,0,,,,,34759542.62,,0,,0,0,4448870.758,,19145641.03,,,32217944.82,0,,0,,0,15438672.62,514827293,0,0,755595207,0,,,0,0,0,8593768.847,10178529.67,0,92011.14937,0,,116977598,22657129.17,142471943.4,5801285.38,0,,,,0,0,0,0,,0,,,,,105355004.1,20670902.91,,,,0,,,,0,0,,0,0,,5100393.707,,0,0,0,4137615.239,0,0,,0,,212603298,0,553774.062,,0,0,,,0,99287708.21,,0,0,0,,,0,,0,0,0,,45199558.18,0,0,0,0,,,0,0,,,0,,,0,,38809882.87,0,,0,0,0,0,0,8665480.146,0,,,,,,0,5009441.057,,0,,,0,0,,,0,0,0,0,0,,,,,23796734.45,0,,0,0,,,0,0,0,0,0,,,0,0,0,0,,,0,0,,,154818817.3,0,0,,,0,,0,,,0,,0,,0,21839655.87,,,,,,0,0,186568.6842,,0,,428760787.6,,,0,0,0,0,0,55767651.16,0,0,,,208156557.8,0,,,207972407.4,,0,,0,,,,,0,,0,,,0,,,0,,,,,0,0,0,,0,
12/23/2020,,,27748540.08,,3441956.951,0,0,24690640.34,,1954451.871,25781232.76,0,,0,0,,0,0,,,,0,992642.5637,0,0,0,,168692439,0,,0,10655798.4,,0,0,,,0,2150902.09,1371118.504,,9222173.459,0,,18475907.9,,70405630.78,0,,,0,7160149.481,,,,187217441.3,,2394135.032,0,,9901892.755,0,,,,0,,0,,,,0,0,0,0,,,0,,,0,0,0,0,,,0,,0,0,0,0,,,,,,,,,434546.6586,,,,0,,0,,,,0,,,,0,0,0,0,,1918012.945,,,,,0,,,,0,,,0,0,5343917.741,,,,,,,,,0,0,0,,,,,0,,0,0,,,,,,,0,0,,,0,0,34550322.53,132516210.6,5241628.721,0,,201500.4637,,0,,,,0,0,,,14632516.37,,0,,,,0,,,,,,,0,,0,,0,0,,0,,,0,0,3796501.717,,,,14000676.44,0,0,0,0,0,0,0,52594862.98,,0,,0,0,,7261889.074,,0,,,4751793.072,0,0,,0,,,,,51508299.19,,0,,0,0,4302028.769,,24101155.38,,,27201237.86,0,,0,,0,23184549.49,593176267.4,0,0,479939640.2,0,,0,0,0,0,8976039.643,14247519.05,0,89459.07661,0,,119111658.5,37975724.89,241678579.4,4154779.301,0,,,,0,0,0,0,,0,,,,0,111467514.9,13915940.82,,,,0,,,,0,0,,0,0,,4089936.047,0,0,0,0,4101571.004,0,0,,0,,174627419,0,562572.5057,,0,0,,,0,95528977.49,,0,0,0,,,0,,6177176.887,0,80852671.13,,46239826.83,0,0,0,0,,,0,0,,,0,,,0,,76216384.65,0,,0,4811906.634,0,0,0,15417308.68,0,0,,,,,0,5190599.892,,0,,,0,0,,,0,0,0,0,0,,,,12113351.04,24490817.93,0,,0,0,,,0,0,0,0,0,,,0,0,0,0,,,7292017.842,0,,,151803926.7,0,0,,,0,,0,,,0,0,0,,0,27424614.2,,,,,,0,0,210326.7464,,0,,352143863.2,,,0,0,0,0,0,38393992.38,0,0,,,199942467.2,0,,,203875925.4,,0,,0,,,0,,0,,0,,,0,,,0,,,,,4039389.892,0,0,,0,
12/24/2020,,,24371252.21,,4514823.645,0,0,21018027.35,,2029940.579,25738738.67,0,,0,0,,0,85931188.3,,,,35447128.64,1429040.263,0,0,0,,168893236.4,0,,0,10160819.67,,0,0,,,0,2456308.617,1397882.098,,9218866.925,0,,22992942.02,,57660067.08,0,,,0,3234621.197,,,,199169360.2,,2572883.936,0,,8999655.743,0,,,,0,,0,,,,0,0,0,0,,,0,,,0,0,0,0,,,0,,0,0,0,0,,,,,,,,,433458.1239,,,,0,,0,,,,0,,,,0,0,0,0,,1521822.756,,,,,0,,,,0,,,0,0,5626702.171,,,,,,,,,0,0,0,,,,,0,,0,0,,,,,,,0,0,,,0,0,36161235.25,133142796.1,6081106.981,0,,166759.1437,,0,0,,,0,0,,4855004.262,10005233.27,,0,,,,0,,,,,,,0,,0,,0,0,,0,,,0,0,14797685.67,,,,13518667.47,0,0,0,0,0,0,0,59596758.19,,0,,0,0,0,6397374.051,,0,,,4654058.229,0,0,,0,,0,,,44221648.64,,0,,0,0,5151244.456,,24962379.51,,,25763912.54,0,,0,,0,24926470.7,634678467.6,0,2853048.83,558192939.3,0,,0,0,0,0,8907911.482,12441196.44,0,94215.56209,4024340.924,,96885190.25,43570000.82,278194323.3,4921186.167,0,,,,0,0,0,7973443.802,,0,,,,0,112875010,16124469.48,,,,0,,,,0,0,,0,0,,7899684.054,0,0,0,0,4018512.893,0,0,,0,,172847709.3,20308095.94,531497.9094,,0,0,,,0,97633796.8,,0,0,0,,,44140865.68,,6483231.731,0,75279210.17,,41650525.57,0,0,0,0,,0,0,0,,,10210016.4,,,0,,86885177.09,0,,0,4657394.858,0,0,0,13506043.24,0,0,,,,,0,4239271.059,,0,,,0,0,,,1483484.65,0,0,0,0,,,,8635330.74,24299604.95,0,,0,0,,,0,0,0,0,0,0,,0,0,0,0,,,7860778.809,0,,0,147558832.9,0,0,,,0,,0,,,0,0,0,,0,26291306.88,0,0,,,,0,0,147912.6257,,3783548.433,,324239704.4,,0,0,0,0,0,0,57873781.89,0,0,,,204322294.8,0,,,201602025.8,,0,,0,,,0,,0,,0,,,0,,,0,,,,,4045474.693,0,0,,0,
12/25/2020,,,25996523.15,,3761054.727,0,0,24474466.24,,1886361.63,29541641.83,0,,0,0,,0,78452608.56,,,,60925867.38,1641405.866,0,0,0,,192880469.8,0,,0,9312488.481,,0,0,,,0,2481168.689,1464885.267,,9119016.58,0,,20560357.36,,56174104.04,0,,,0,3827351.885,,,,209017547.7,,2593855.767,0,,8818835.012,0,,,,0,,0,,,,0,0,0,0,,,0,,,0,0,0,0,,,0,,0,0,0,0,,,,,,,,,434067.9568,,,,0,,0,,,,2090274.371,,,,0,0,0,0,,1289783.848,,,,,0,,,,0,,,0,0,5474571.6,,,,,,,,,23097552.97,0,0,,,,,0,,0,0,,,,,,,0,0,,,0,0,31726794.98,97059326.69,6240296.27,0,,80184.10253,,0,0,,,0,0,,2488406.902,12720322.6,,0,,,,0,,,,,,,0,,0,,0,0,,0,,,0,0,15682742.62,,,,12866537.13,0,0,1942738.446,0,0,0,0,52438408.42,,0,,0,0,0,6346527.537,,0,0,,3756309.566,0,0,,0,,0,,,28249012.96,,0,,0,0,4552834.316,,21370485.07,,,25461733.62,0,,0,,0,26359823.42,550598796.2,0,3720913.367,420512528.1,0,,0,0,0,0,9087681.606,12111996.26,0,96421.30425,5006476.459,,101381329.3,49584045.48,221299941.7,5148357.33,0,,,59942.52212,0,0,0,12355621.21,,0,,,,0,119725965.8,17034783.91,,,,0,,,,0,0,229080.41,0,0,,11983023.14,0,0,0,0,4100729.231,0,0,,0,,206995088.6,20751637.49,2190618.942,,0,0,,,0,88245099.67,,0,0,0,,,33569060.87,,6555322.214,0,75974161.78,,29557610.38,0,0,0,0,,0,0,0,,,11195228.22,,,0,,72965162.2,0,,0,6552012.602,0,0,0,14302922.34,0,0,,,,,0,3536527.839,,0,,,0,0,,,1407909.904,0,0,0,0,,,,8739891.801,24642847.49,0,,0,0,,,0,0,0,0,0,0,,0,0,0,0,,,8020845.568,0,,0,139215101.9,0,0,,,0,,0,,,0,0,0,,0,28020165.11,0,0,,,,0,0,155860.6508,,4441157.704,34165242.61,369439814.1,,0,0,0,0,0,0,92595618.01,0,0,,,209186340.4,0,,,175199871.6,,0,,0,,,0,,0,,0,,,0,,,0,,,,,3657577.883,0,0,,0,
12/26/2020,,,29068757.73,,3098690.293,0,0,23658738.41,,1728817.269,29605476.56,0,,0,0,,0,70425616.9,,,,51824530.92,1260413.395,0,0,0,,195920696.5,0,,927203.0208,8860776.517,,0,0,,,0,3058090.399,1980166.558,,9109006.209,0,,23335244.44,,42903458.05,0,,,0,3491503.925,,,,211563288.3,,2345661.586,0,,8564391.822,0,,,,0,,0,,,,0,0,0,0,,,0,,,0,0,0,0,,,0,,0,0,0,0,,,,,,,,,433212.4358,,,,0,,0,,,,2353447.445,,,,0,0,0,0,,1355222.299,,,,,0,,,,0,,,0,0,11272504.61,,,,,,,,,21897731.53,0,0,,,,,0,,0,0,,,,,,,0,0,,,0,0,26801024.49,77716660.6,6013239.062,0,,121843.3986,,0,0,,,0,0,,1847833.174,18584716.61,,0,,,,10351706.93,,,,,,,0,,0,,0,0,,0,,,0,0,24408780.34,,,,15670406.34,0,0,4373173.163,0,0,0,0,49129667.17,,0,,0,0,0,5561042.719,,0,0,,3704237.616,0,0,,0,,0,,,30671769.44,,0,,0,0,3720520.178,,16109393.89,,,25427563.84,0,,0,,3676932.945,22776373.62,473126434.1,0,3886106.782,419568754.7,0,,0,0,0,0,8584908.994,15336037.77,0,98521.99673,6079751.974,,95527320.58,41814956.21,232762614,7355000.281,0,,,45518.10147,0,0,0,15456452.53,,0,,,,0,165745677.8,20410907.94,,,,0,,,,0,0,208999.6435,0,0,,15718237.73,0,0,0,0,5725492.579,0,0,,0,,162570662.3,18852675.89,1901952.71,,0,0,,,0,86420409.32,,0,0,0,,,37176599.43,,11604019.82,0,73184477.34,,25265326.33,0,0,0,0,,0,0,0,,,12595901.5,,,0,,88933941.26,0,,0,6469865.884,0,0,0,24213295.5,0,0,,,,,0,2931269.215,,0,,,0,0,,,1694294.613,0,0,0,0,,,,8653438.178,25106325.19,0,,0,0,,,0,0,0,0,0,0,,0,0,0,0,,,7032678.349,0,,0,129677833.6,0,0,,,0,,0,,,0,0,0,,0,30213777.01,0,0,,,,0,0,229985.5537,,8022804.33,49399209.16,428390344.3,,0,0,0,0,0,0,129794488,0,0,,,209206797.1,0,,,158262254.4,,0,,0,,,0,,0,,0,,,0,,,0,,,,,3014673.221,0,0,,0,
12/27/2020,,,31598863.19,,3386523.29,0,0,30801942.83,,1702890.612,30336705.2,0,,0,0,,0,73162606.12,,,,54679345.73,1063474.538,0,0,0,,200387738,0,,929829.3475,7803443.518,,0,0,,,0,4185015.292,1583151.457,,9089835.994,0,,19600640.59,,36560045.68,0,,,0,4080406.552,,,,222711690.7,,2283416.952,0,,9820326.335,0,,,,0,,0,,,,0,0,0,0,,,0,,,0,0,0,0,,,0,,0,0,0,0,,,,,,,,,433790.5827,,,,0,,0,,,,2631610.762,,,,0,0,0,0,,1591949.805,,,,,0,,,,970750.5987,,,0,0,4464971.026,,,,,,,,,21423349.4,0,0,,,,,0,,0,0,,,,,,,0,0,,,0,0,23040874.38,68515826.94,4444688.451,0,,143566.7054,,0,0,,,0,0,,49778439.65,37224381.77,,0,,,,10918977.89,,,,,,,0,,0,,0,0,,0,,,0,0,16239146.8,,,,30754613.38,0,0,11414277.8,0,70067094.76,0,0,45086356.01,,0,,0,0,0,7412883.635,,0,0,,3144450.497,0,0,,0,,0,,,26191211.36,,11943849.62,,0,0,3860479.321,,16725741.23,,,26781595.94,384890818.6,,0,,14665827.2,22410952.65,519974242.2,0,3623532.739,366452041.5,0,,0,0,0,0,10866104.52,13009334.02,0,93750.20347,4126064.032,,97576000.64,38210917.49,200857768.5,7079613.783,0,,,45063.94682,0,0,0,12953838.36,,0,,,,0,217432557.2,20470415.35,,,,0,,,,0,0,260716.4609,0,0,,20174533.94,0,0,0,0,5717384.536,0,0,,0,,167846338.4,19603149.91,3293893.838,,0,0,,,0,90371254.37,,0,0,0,,,37790923.99,,10755384.16,0,65787960.89,,28758664.27,19408619.63,0,0,0,,0,0,0,,,17088523.04,,,0,,114173436.4,0,,0,5453849.436,0,0,0,22142563.65,0,0,0,,,,0,3173310.349,,0,,,0,0,,,2323676.547,0,0,0,0,,0,0,8298399.402,56903102.67,0,,0,0,,,0,0,0,0,0,0,,0,0,0,0,,,7200805.67,0,,0,99184415.88,0,0,,,0,,0,,,0,0,0,,0,26696449.81,0,0,,,,0,2380787.342,199821.943,,8220731.561,34035837.87,417341307.8,,0,0,0,0,0,0,118224004.9,0,0,,,197924515.4,0,,,132390326.3,,0,,0,,,0,,0,,0,,,0,,,0,,,,,2582550.125,0,0,,0,
12/28/2020,,,33795159.62,,3669710.583,0,0,30220661.34,,1713976.99,25970951.64,0,,0,0,,0,69396800.09,,,,40769506.43,723698.6363,0,0,0,,175298122.1,0,,1053129.261,9206672.247,,0,0,,,0,3597315.403,1707066.212,,9075678.306,732563.7824,,20564714.01,,41900134.91,0,,,0,5340247.563,,,,220265175.3,,6260230.019,0,,9426252.281,0,,,,0,,0,,,,0,0,0,0,,,0,,,0,0,0,0,,,0,,0,0,0,0,,,,,,,,,433504.9216,,,,0,,0,,,,1789844.524,,,,0,0,0,0,,1487239.826,,,,,0,,,,1638220.228,,,0,0,3907387.015,,,,,,,,,19364445.95,41318645.31,0,,,,,0,,0,0,,,,,,,0,0,,,0,0,19857390.44,56084146.19,5121490.988,0,,125963.3916,,13810518.73,0,,,0,0,,58622936.67,28536633.4,,0,,,,12107577.01,,,,,,,0,,0,,0,0,,18243981.46,,,0,0,15907700.66,,,,70994650.41,0,0,11182553.31,0,53272987.52,0,0,45947385.87,,0,,0,0,0,9615069.942,,0,0,,2595682.218,0,0,,0,,0,,,21236834.17,,14900567.52,,0,0,4150735.497,,17174829.22,,,28052517.09,513655104.5,,0,,16120522.3,19713769.91,529378222,11520569.95,3429886.026,494216634.9,0,,0,0,0,0,10388921.81,10673215.51,0,96622.46345,3799654.124,,95217111.12,34898694.61,195870445.4,6363295.207,0,,,45110.05083,0,0,0,15557206.37,,0,,,,0,217669668.1,17302562.26,,,,0,,,,0,0,250732.4124,0,0,,20346263.52,0,0,0,0,5604675.434,0,0,,0,,165146562.3,19500151.99,3348689.879,,0,0,,,0,82086193.57,,0,0,0,,,43735972.43,,8660592.797,0,50487578.18,,18622220.35,17166946.5,0,0,0,,0,0,0,,,18480421.11,,,0,,109672517,0,,0,6007831.735,0,0,0,22862694.07,0,0,0,,,,0,3287507.386,,0,,,0,0,,,2435901.251,0,0,0,0,,21052761.09,0,8098435.678,67965408.84,0,,0,0,,,0,0,5533457.251,0,0,0,,0,1069247.338,0,0,,,7183574.913,0,,0,128764756,0,0,,,0,,0,,,0,0,0,,0,22711049.11,0,0,0,,,0,2088144.21,252464.3462,,8156719.892,62974822.02,398125767.4,,0,0,0,0,0,0,137961395.3,0,0,,,188114562.4,0,,,127788380.9,,0,,0,,,0,,0,,0,,,0,,,0,,,,,3068063.924,0,0,,0,
12/29/2020,,,30991725.22,,12531392.74,0,0,31248079.63,,971023.4206,22870200.61,0,,0,0,,0,67602528.6,,,,38590311.48,1830358.215,0,0,0,,196998052.4,0,,1006586.866,8386656.56,,0,0,,,0,3107560.698,1642679.713,,9066218.307,670616.3599,,20124632.92,,30708046.57,0,,,0,5074133.604,,,,220131171.8,,6235544.956,109215.6765,,9978319.266,0,,,,0,,0,,,,0,0,0,0,,,0,,,0,0,0,0,,,0,,0,0,0,0,,,,,,,,,433242.6593,,,,0,,0,,,,2388893.47,,,,0,0,0,0,,1301024.345,,,,,0,,,,7506750.186,,,0,0,4347457.77,,,,,,,,,21427953.38,35302229.4,0,,,,,0,,0,0,,,,,,,0,0,,,0,0,27372927.39,65331424.7,5620239.608,0,,181958.2778,,18253466.5,0,,,0,0,,32400333.29,3888325.194,,0,,,,13081285.28,,,,,,,0,,0,,0,0,,11855080.49,,,0,0,13057925.37,,,,47932799.64,0,0,10703072.59,0,56099817.35,0,0,47240250.82,,17942336.8,,0,0,0,9355365.131,,0,0,,2200979.263,0,0,,0,,0,,,26006449.35,,16590589.66,,0,0,5370031.635,,16301720.5,,,28762853.04,486461514.3,,0,,14112367.82,22591969.3,556637395.1,26002775.16,2663398.969,404386525,0,,0,0,0,0,9652726.532,10433388.78,0,104317.4984,3117074.602,,103762340.1,32834167.06,178761734.5,6008921.618,0,,,46007.32118,0,0,0,18522760.23,,6178422.784,,,,0,207681114.2,17389282.66,,,,0,,,,0,0,326397.1902,0,0,,13529633.74,0,0,0,0,5623177.909,0,0,,0,,135759634.7,19481502.18,2245794.686,,0,0,,,0,84119349.79,,0,0,0,,,44154075.37,,7054646.792,0,51486026.59,,29641255.72,17881421.47,0,0,0,,0,20095819.18,0,,,17868150.38,,,0,,109915944.2,0,,0,6426908.942,0,0,0,20146899.24,0,0,0,,,,0,3226431.375,,0,,,0,0,,,3459593.569,0,0,0,0,,21538501.92,0,8183843.277,69420956.13,0,,0,0,,,0,0,6115135.988,0,0,0,,0,1227804.58,0,0,,,6893716.296,0,,0,102712635.1,0,0,,,0,,0,,,0,0,0,,0,34616450.2,0,0,0,,,0,2101761.68,257931.3949,,9784177.35,65551073.62,347409398.9,,0,0,0,0,0,0,113377880,0,0,,0,180519036.3,0,,,124708998.1,,0,,0,,,0,,0,,0,,,0,,,0,,,,,3146471.544,311.8959864,0,,0,
